Point No,X,Y,N_Dist_01,N_Dist_02,N_Dist_03,N_Dist_04,N_Dist_05,N_Dist_06,N_Dist_07,N_Dist_08,N_Dist_09,N_Dist_10
1,29652,4288,0.014245451,0.014253363,0.024678414,0.024692115,0.028490902,0.028506726,0.037701884,0.04938423,0.051364899,0.051397812
2,29782,4363,0.014245451,0.014253363,0.014253363,0.014253363,0.014253363,0.024678414,0.024678414,0.037716833,0.037716833,0.042736353
3,29652,4438,0.014245451,0.014245451,0.014253363,0.014253363,0.024692115,0.028506726,0.028506726,0.037692912,0.042736353,0.049356828
4,29782,4513,0.014245451,0.014253363,0.014253363,0.014253363,0.014253363,0.024678414,0.024678414,0.028490902,0.037692912,0.037692912
5,29652,4588,0.014245451,0.014253363,0.024678414,0.024678414,0.024692115,0.028490902,0.028490902,0.028506726,0.037701884,0.037701884
91,29782,11413,0.014245451,0.014253363,0.014253363,0.024678414,0.024678414,0.024678414,0.024678414,0.028490902,0.028490902,0.037692912
92,29652,11488,0.014245451,0.014253363,0.014253363,0.024678414,0.024692115,0.028490902,0.028506726,0.037692912,0.037701884,0.042736353
93,29782,11563,0.014245451,0.014245451,0.014253363,0.014253363,0.014253363,0.014253363,0.037692912,0.037692912,0.037716833,0.037716833
94,29652,11638,0.014245451,0.014253363,0.014253363,0.024678414,0.024692115,0.028506726,0.042736353,0.049356828,0.04938423,0.051364899
95,29782,11713,0.014245451,0.014253363,0.014253363,0.024678414,0.024678414,0.028490902,0.037716833,0.042760089,0.04938423,0.051364899
96,29912,4288,0.014245451,0.014253363,0.024678414,0.024692115,0.024692115,0.028490902,0.028506726,0.028506726,0.037701884,0.037701884
97,29912,4438,0.014245451,0.014245451,0.014253363,0.014253363,0.024692115,0.024692115,0.028506726,0.028506726,0.028506726,0.028506726
98,29912,4588,0.014245451,0.014253363,0.024678414,0.024678414,0.024692115,0.024692115,0.028490902,0.028490902,0.028506726,0.028506726
142,29912,11488,0.014245451,0.014253363,0.014253363,0.024678414,0.024692115,0.024692115,0.028490902,0.028506726,0.028506726,0.028506726
143,29912,11638,0.014245451,0.014253363,0.014253363,0.024678414,0.024692115,0.024692115,0.028506726,0.028506726,0.037701884,0.037716833
436,37062,4363,0.014245451,0.014253363,0.014253363,0.014253363,0.024678414,0.037716833,0.037716833,0.042736353,0.042760089,0.04938423
437,36932,4438,0.014253363,0.014253363,0.024692115,0.024692115,0.028506726,0.028506726,0.028506726,0.028506726,0.037692912,0.037716833
438,37062,4513,0.014245451,0.014253363,0.014253363,0.014253363,0.024678414,0.028490902,0.037692912,0.037692912,0.037716833,0.037716833
504,37062,11413,0.014253363,0.014253363,0.024678414,0.024678414,0.024678414,0.024678414,0.028490902,0.037692912,0.037692912,0.037716833
505,36932,11488,0.014245451,0.014253363,0.024678414,0.024692115,0.024692115,0.028490902,0.028506726,0.028506726,0.028506726,0.037701884
506,36932,11638,0.014245451,0.014253363,0.024678414,0.024692115,0.024692115,0.028506726,0.028506726,0.037701884,0.037716833,0.037716833
507,37062,11713,0.014253363,0.014253363,0.024678414,0.024678414,0.028490902,0.037716833,0.042760089,0.04938423,0.051364899,0.051364899
508,37192,4288,0.014245451,0.014253363,0.024678414,0.028490902,0.028506726,0.04938423,0.051364899,0.051397812,0.056981804,0.057013452
509,37192,4438,0.014245451,0.014245451,0.014253363,0.014253363,0.024692115,0.037692912,0.042736353,0.049356828,0.04938423,0.051364899
510,37192,4588,0.014245451,0.014253363,0.024678414,0.024678414,0.028490902,0.028490902,0.028506726,0.037692912,0.037701884,0.042736353
554,37192,11488,0.014245451,0.014253363,0.024678414,0.024692115,0.028490902,0.028506726,0.037701884,0.042736353,0.049356828,0.04938423
555,37192,11638,0.014245451,0.014253363,0.024678414,0.024692115,0.028506726,0.042736353,0.049356828,0.04938423,0.051397812,0.056981804
